hash;plik;dlugosc;tier;obszar;rules;fullContext;EN
48016C595459A45D8A279AEDDCF67A6B;InnerRangeTranslations_1.xml;151;3;automatyka/sterowanie;;;This trigger condition will be true as long as the storage unit has been marked vacant, and will only turn false again if the vacancy has been cleared.
9FE75DED231A98A3CA214D6B3D06F384;InnerRangeTranslations_1.xml;30;1;system/ogolne;;;Secure Pending (Active Inputs)
9835443E53C4288A55AD0BEBFB027EBB;InnerRangeTranslations_1.xml;145;3;automatyka/sterowanie;;;This trigger condition will be true while the selected storage unit is in the secure pending state, due to it having one or more unsealed inputs.
29E9F04AD4142DE5009191A12AB19FF6;InnerRangeTranslations_1.xml;16;1;system/ogolne;;;All Units Secure
195C529950352CFA6126535738EC6095;InnerRangeTranslations_1.xml;109;3;automatyka/sterowanie;;;This trigger condition will be true while all storage units in the chosen storage block are currently secure.
D01BEAC5453C1BEFC855B5B8A2038CBC;InnerRangeTranslations_1.xml;19;1;system/ogolne;;;Some Units Unlocked
690DC84E67181D7F21E7F9FE86662BD3;InnerRangeTranslations_1.xml;134;3;automatyka/sterowanie;;;This trigger condition will be true while there are one or more storage units in the chosen storage block that are currently unlocked.
47C1B457F1C17AAD3239BDA60077A61C;InnerRangeTranslations_1.xml;28;1;system/ogolne;;;Some Units Unlocked Too Long
EF72851160A049424532C8194F364C32;InnerRangeTranslations_1.xml;200;3;automatyka/sterowanie;;DE409FDE742E8EED8C7DBA3A23E9AADE;This trigger condition will be true while there are one or more storage units in the chosen storage block that are currently in the state of being unlocked too long after a time period defined by the 
5812ADCF1CF75C18CF8F66F92E0AD37E;InnerRangeTranslations_1.xml;30;1;system/ogolne;;DE409FDE742E8EED8C7DBA3A23E9AADE; option in that storage block.
E1C40669DCB105B58217739A13B8B51B;InnerRangeTranslations_1.xml;19;1;uzbrajanie/strefy;;;Some Units in Alarm
53587ADBFEDBC2B00E8C76FB83F1443D;InnerRangeTranslations_1.xml;129;3;uzbrajanie/strefy;;;This trigger condition will be true while there are one or more storage units in the chosen storage block are currently in alarm.
9D29BAD32F0454750BFFB3B8336A2016;InnerRangeTranslations_1.xml;20;1;uzbrajanie/strefy;;;Some Units in Tamper
4FAD1D13E652C83205CB0657CE573F2E;InnerRangeTranslations_1.xml;130;3;uzbrajanie/strefy;;;This trigger condition will be true while there are one or more storage units in the chosen storage block are currently in tamper.
3582E060225A73AC1889CC61501A3D45;InnerRangeTranslations_1.xml;28;1;system/ogolne;;;Some Units in Secure Pending
353C2893E28BD0EFDE5B5D2BA7316B6D;InnerRangeTranslations_1.xml;153;3;automatyka/sterowanie;;;This trigger condition will be true while there are one or more storage units in the chosen storage block that are pending secure due to unsealed inputs.
7A2CCF251ECB20B2B84CE0E3C3F72A29;InnerRangeTranslations_1.xml;6;1;system/ogolne;unique=UnitStates;7A2CCF251ECB20B2B84CE0E3C3F72A29;Secure
2B2932B1AE0CBB9B635BF7C370093235;InnerRangeTranslations_1.xml;74;3;automatyka/sterowanie;;;This trigger condition will be true as long as the chosen input is secure.
599324A82F216907293B72793DBB7AD5;InnerRangeTranslations_1.xml;74;3;automatyka/sterowanie;;;This trigger condition will be true as long as the chosen input is active.
D1F847307D4668EE43043EA87F2A00A6;InnerRangeTranslations_1.xml;8;1;system/ogolne;;CF8EA99A2E6A9E7D8B111FE682E078BF;Isolated
